uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
23.515,0.019,22.437,0.019,19.041,0.016,
23.55,0.019,22.481,0.019,19.074,0.016,
23.58,0.019,22.521,0.019,19.109,0.016,
23.605,0.019,22.573,0.019,19.138,0.016,
23.625,0.019,22.632,0.019,19.186,0.016,
23.64,0.019,22.661,0.019,19.202,0.016,
23.65,0.019,22.695,0.019,19.259,0.027,
23.655,0.019,22.724,0.019,19.312,0.016,
23.655,0.019,22.755,0.019,19.356,0.022,
23.75,0.019,22.807,0.019,19.388,0.022,
23.84,0.019,22.858,0.019,19.41,0.022,
23.925,0.019,22.901,0.019,19.461,0.022,
24.005,0.019,22.952,0.019,19.518,0.022,
24.08,0.019,22.996,0.019,19.579,0.022,
24.15,0.019,23.054,0.019,19.601,0.022,
24.215,0.019,23.118,0.019,19.643,0.022,
24.275,0.019,23.164,0.019,19.685,0.028,
24.33,0.019,23.234,0.019,19.732,0.028,
24.38,0.019,23.277,0.019,19.768,0.028,
24.425,0.019,23.319,0.019,19.78,0.022,
24.465,0.019,23.355,0.019,19.799,0.022,
24.5,0.019,23.395,0.019,19.852,0.022,
24.53,0.019,23.412,0.019,19.892,0.023,
24.555,0.019,23.465,0.019,19.929,0.023,
24.575,0.019,23.491,0.019,19.971,0.023,
24.59,0.019,23.54,0.019,19.997,0.023,
24.6,0.019,23.606,0.019,20.037,0.023,
24.605,0.019,23.628,0.019,20.071,0.026,
24.605,0.019,23.66,0.019,20.088,0.019,
24.7,0.019,23.684,0.019,20.138,0.017,
24.79,0.019,23.714,0.019,20.189,0.017,
24.875,0.019,23.79,0.019,20.207,0.017,
24.955,0.019,23.828,0.019,20.237,0.023,
25.03,0.019,23.873,0.019,20.262,0.023,
25.1,0.019,23.928,0.019,20.282,0.023,
25.165,0.019,23.984,0.019,20.339,0.023,
25.225,0.019,24.039,0.019,20.38,0.023,
25.28,0.019,24.082,0.019,20.418,0.022,
25.33,0.019,24.151,0.019,20.44,0.022,
25.375,0.019,24.214,0.019,20.46,0.023,
25.415,0.019,24.26,0.019,20.503,0.023,
25.45,0.019,24.31,0.019,20.558,0.022,
25.48,0.019,24.349,0.019,20.586,0.022,
25.505,0.019,24.383,0.019,20.612,0.022,
25.525,0.019,24.409,0.019,20.661,0.022,
25.54,0.019,24.46,0.019,20.698,0.016,
25.55,0.019,24.52,0.019,20.753,0.016,
25.555,0.019,24.553,0.019,20.787,0.027,
25.555,0.019,24.585,0.019,20.845,0.027,
25.65,0.019,24.637,0.019,20.886,0.027,
25.74,0.019,24.677,0.019,20.913,0.016,
25.825,0.019,24.729,0.019,20.948,0.016,
25.905,0.019,24.755,0.019,20.973,0.016,
25.98,0.019,24.79,0.019,21.001,0.022,
26.05,0.019,24.852,0.019,21.02,0.022,
26.115,0.019,24.888,0.019,21.047,0.016,
26.175,0.019,24.924,0.019,21.071,0.016,
26.23,0.019,24.979,0.019,21.104,0.016,
26.28,0.019,25.045,0.019,21.166,0.016,
26.325,0.019,25.114,0.019,21.21,0.016,
